07.06.1692;17.80,-76.70|7.0|3.0|10.0
01.09.1530;10.70,-64.10|7.0|2.0|7.3
21.11.1751;18.50,-73.50|7.0|2.0|7.0
03.10.1780;18.10,-78.10|7.0|2.0|3.2
28.03.1787;19.00,-66.00|8.0|2.5|4.0
07.05.1842;18.50,-72.50|7.7|3.0|8.3
08.02.1843;16.50,-62.20|8.3|1.0|1.2
09.08.1856;15.80,-83.30| |2.0|5.0
18.11.1867;18.00,-65.00|7.5|3.0|10.0
17.03.1868;18.40,-64.90|7.0|1.0|0.6
07.09.1882;9.50,-78.70|7.9|1.5|3.0
29.10.1900;10.30,-65.90| |3.0|10.0
14.01.1907;18.20,-76.70|7.0|2.0|9.1
26.04.1916;9.20,-83.10|7.5|1.0|1.2
11.10.1918;18.50,-67.50|7.5|2.5|6.0
24.10.1918;18.50,-67.50| |1.5|2.6
04.08.1946;19.25,-69.00|8.0|2.0|4.7
22.04.1991;9.60,-83.20|7.6|1.5|3.0
26.12.1997;16.70,-62.20| |1.0|3.0
